Priority,BlockID,Observer,ObjectName,ObjectType,RA,DEC,RAoffset,DECoffset,ROToffset,Filter1,Filter2,DitherType,DitherRadius,DitherPhase,DitherTotal,Images,IntegrationTime,Comment1,Comment2
0,P013612,ALLSKY,field13612,all_sky_grid,05:50:54.948,-08:17:19.356,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:03,32.61004110952482
0,P013613,ALLSKY,field13613,all_sky_grid,05:55:30.9864,-08:17:19.356,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:07,32.601772278937574
0,P013614,ALLSKY,field13614,all_sky_grid,06:00:07.0248,-08:17:19.356,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:12,32.581112334304876
0,P014552,ALLSKY,field14552,all_sky_grid,05:39:33.1752,-04:52:15.564,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:16,35.70665100684482
0,P014553,ALLSKY,field14553,all_sky_grid,05:44:07.4616,-04:52:15.564,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:21,35.69887825435458
0,P014554,ALLSKY,field14554,all_sky_grid,05:48:41.748,-04:52:15.564,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:25,35.67917518042779
0,P014555,ALLSKY,field14555,all_sky_grid,05:53:16.0344,-04:52:15.564,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:30,35.67139567013082
0,P014867,ALLSKY,field14867,all_sky_grid,05:38:28.944,-03:43:54.3,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:34,38.749578791692784
0,P014868,ALLSKY,field14868,all_sky_grid,05:43:02.3616,-03:43:54.3,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:39,38.74220882131465
0,P014869,ALLSKY,field14869,all_sky_grid,05:47:35.7792,-03:43:54.3,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:43,38.734837291366865
0,P015180,ALLSKY,field15180,all_sky_grid,05:24:48.6912,-02:35:33.036,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:48,43.06016587506332
0,P015181,ALLSKY,field15181,all_sky_grid,05:29:22.1088,-02:35:33.036,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:52,43.06430688843943
0,P015182,ALLSKY,field15182,all_sky_grid,05:33:55.5264,-02:35:33.036,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,05:57,43.05765424648035
0,P015183,ALLSKY,field15183,all_sky_grid,05:38:28.944,-02:35:33.036,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:01,43.05100242744963
0,P015184,ALLSKY,field15184,all_sky_grid,05:43:02.3616,-02:35:33.036,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:06,43.04435065479425
0,P015185,ALLSKY,field15185,all_sky_grid,05:47:35.7792,-02:35:33.036,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:10,43.03769815175982
0,P015497,ALLSKY,field15497,all_sky_grid,05:29:22.1088,-01:27:11.772,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:15,46.15826503429535
0,P015498,ALLSKY,field15498,all_sky_grid,05:33:55.5264,-01:27:11.772,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:19,46.152431420731176
0,P015499,ALLSKY,field15499,all_sky_grid,05:38:28.944,-01:27:11.772,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:24,46.14659947786348
0,P015500,ALLSKY,field15500,all_sky_grid,05:43:02.3616,-01:27:11.772,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:28,46.140768374259565
0,P015812,ALLSKY,field15812,all_sky_grid,05:24:48.6912,-00:18:50.508,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:33,48.81338875362392
0,P015813,ALLSKY,field15813,all_sky_grid,05:29:22.1088,-00:18:50.508,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:37,48.81740573041679
0,P015814,ALLSKY,field15814,all_sky_grid,05:33:55.5264,-00:18:50.508,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:42,48.8126068855563
0,P015815,ALLSKY,field15815,all_sky_grid,05:38:28.944,-00:18:50.508,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:46,48.80781044127823
0,P016127,ALLSKY,field16127,all_sky_grid,05:20:15.2736,+00:49:30.756,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:51,50.93466318200642
0,P016128,ALLSKY,field16128,all_sky_grid,05:24:48.6912,+00:49:30.756,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,06:55,50.9311161550681
0,P016129,ALLSKY,field16129,all_sky_grid,05:29:22.1088,+00:49:30.756,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,07:00,50.93499208567832
0,P016130,ALLSKY,field16130,all_sky_grid,05:33:55.5264,+00:49:30.756,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,07:04,50.9314570392322
0,P016439,ALLSKY,field16439,all_sky_grid,05:02:01.6032,+01:57:52.02,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,07:09,53.588394829513234
0,P016440,ALLSKY,field16440,all_sky_grid,05:06:35.0208,+01:57:52.02,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,07:13,53.587199546485934
0,P016441,ALLSKY,field16441,all_sky_grid,05:11:08.4384,+01:57:52.02,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,07:18,53.58601364117658
0,P016442,ALLSKY,field16442,all_sky_grid,05:15:41.856,+01:57:52.02,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,07:22,53.58483610638028
0,P016443,ALLSKY,field16443,all_sky_grid,05:20:15.2736,+01:57:52.02,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,07:27,53.58366593050468
0,P016444,ALLSKY,field16444,all_sky_grid,05:24:48.6912,+01:57:52.02,0.0,0.0,172800.0,Open,J,Circle,60.0,0.0,10,1,10.0,07:31,53.58250209796773
