#field RA Dec type(main=1,sub=2,moa=3,other=0)
1 17:45:52.75 -18:04:11.44  0    
2 17:43:17.96 -19:05:03.10  0
3 17:40:40.73 -20:05:42.09  0
4 17:38:00.94 -21:06:07.72  0
5 17:35:18.44 -22:06:19.28  0
6 17:32:33.10 -23:06:16.02  0
7 17:29:44.75 -24:05:57.15  0
8 17:26:53.24 -25:05:21.84  0
9 17:23:58.40 -26:04:29.21  0
10 17:21:00.07 -27:03:18.34 0
11 17:17:58.07 -28:01:48.27 0
12 17:14:52.20 -28:59:57.97 0
13 17:11:42.29 -29:57:46.36 0
14 17:08:28.13 -30:55:12.30 0
15 17:05:09.52 -31:52:14.59 0
16 17:01:46.23 -32:48:51.96 0
17 16:58:18.05 -33:45:03.06 0
18 17:50:11.39 -18:40:41.83 0
19 17:47:37.32 -19:41:53.49 0
20 17:45:00.86 -20:42:53.32 0
21 17:42:21.87 -21:43:40.65 0
22 17:39:40.21 -22:44:14.78 0
23 17:36:55.73 -23:44:34.99 0
24 17:34:08.28 -24:44:40.49 0
25 17:31:17.69 -25:44:30.49 0
26 17:28:23.79 -26:44:04.12 0
27 17:25:26.40 -27:43:20.49 0
28 17:22:25.36 -28:42:18.64 0
29 17:19:20.46 -29:40:57.59 0
30 17:16:11.50 -30:39:16.25 0
31 17:12:58.29 -31:37:13.53 0
32 17:09:40.59 -32:34:48.23 0
33 17:06:18.20 -33:31:59.11 0
34 17:02:50.87 -34:28:44.83 0
35 17:54:31.87 -19:16:49.93 0
36 17:51:58.67 -20:18:20.42 0
37 17:49:23.11 -21:19:39.93 0
38 17:46:45.07 -22:20:47.82 0
39 17:44:04.40 -23:21:43.39 0
40 17:41:20.95 -24:22:25.95 0
41 17:38:34.55 -25:22:54.74 0
42 17:35:45.04 -26:23:08.97 0
43 17:32:52.25 -27:23:07.81 0
44 17:29:56.00 -28:22:50.38 0
45 17:26:56.10 -29:22:15.77 0
46 17:23:52.35 -30:21:22.98 0
47 17:20:44.56 -31:20:10.98 0
48 17:17:32.50 -32:18:38.68 0
49 17:14:15.96 -33:16:44.92 0
50 17:10:54.70 -34:14:28.48 0
51 17:07:28.47 -35:11:48.03 0
52 17:58:54.27 -19:52:34.79 0
53 17:56:22.06 -20:54:22.91 0
54 17:53:47.56 -21:56:00.92 0
55 17:51:10.61 -22:57:28.18 0
56 17:48:31.08 -23:58:44.03 0
57 17:45:48.80 -24:59:47.79 2
58 17:43:03.62 -26:00:38.72 1
59 17:40:15.37 -27:01:16.06 1
60 17:37:23.87 -28:01:39.01 1
61 17:34:28.93 -29:01:46.71 1
62 17:31:30.38 -30:01:38.26 1
63 17:28:28.00 -31:01:12.71 2
64 17:25:21.58 -32:00:29.05 0  
65 17:22:10.90 -32:59:26.21 0
66 17:18:55.74 -33:58:03.06 0
67 17:15:35.85 -34:56:18.40 0
68 17:12:10.97 -35:54:10.95 0
69 18:03:18.64 -20:27:55.45 0
70 18:00:47.57 -21:29:59.98 0
71 17:58:14.25 -22:31:55.25 0
72 17:55:38.54 -23:33:40.66 0
73 17:53:00.30 -24:35:15.58 0
74 17:50:19.36 -25:36:39.34 2
75 17:47:35.57 -26:37:51.24 1
76 17:44:48.75 -27:38:50.53 1
77 17:41:58.72 -28:39:36.43 1
78 17:39:05.30 -29:40:08.13 1
79 17:36:08.28 -30:40:24.74 1
80 17:33:07.47 -31:40:25.34 2
81 17:30:02.65 -32:40:08.95 0
82 17:26:53.59 -33:39:34.53 0
83 17:23:40.05 -34:38:40.99 0
84 17:20:21.78 -35:37:27.15 0
85 17:16:58.52 -36:35:51.77 0
86 18:07:45.04 -21:02:50.95 0
87 18:05:15.23 -22:05:10.60 0
88 18:02:43.24 -23:07:21.88 0
89 18:00:08.93 -24:09:24.19 0
90 17:57:32.13 -25:11:16.93 0
91 17:54:52.70 -26:12:59.45 2
